sampling_week,effective_concentration_rolling_average,region,state,name,fipscode
2020/7/1,27.34086011,Northeast,MA,"Suffolk County, MA",25025
2020/7/1,21.86123685,Northeast,NJ,"Union County, NJ",34039
2020/7/8,48.28426417,West,CO,"Arapahoe County, CO",8005
2020/7/8,26.71828768,Northeast,MA,"Berkshire County, MA",25003
2020/7/8,98.37347605,West,NV,"Elko County, NV",32007
2020/7/8,53.46756743,Northeast,PA,"Erie County, PA",42049
2020/7/8,14.68410869,Northeast,CT,"Fairfield County, CT",9001
2020/7/8,122.2116951,Northeast,PA,"Franklin County, PA",42055
2020/7/8,180.7243507,South,TN,"Hamilton County, TN",47065
2020/7/8,33.53635893,Northeast,PA,"Indiana County, PA",42063
2020/7/8,168.3480773,South,KY,"Jefferson County, KY",21111
2020/7/8,130.0859231,Midwest,IN,"Lake County, IN",18089
2020/7/8,763.1957651,South,FL,"Miami-Dade County, FL",12086
2020/7/8,35.28995247,West,CA,"Monterey County, CA",6053
2020/7/8,15.58680022,Northeast,PA,"Montgomery County, PA",42091
2020/7/8,4.080886136,Northeast,NY,"Nassau County, NY",36059
2020/7/8,70.77131309,Northeast,DE,"New Castle County, DE",10003
2020/7/8,94.13074756,West,MT,"Park County, MT",30067
2020/7/8,46.17647218,Midwest,IL,"Peoria County, IL",17143
2020/7/8,67.76686494,West,CA,"Placer County, CA",6061
2020/7/8,36.62226878,West,WA,"Skagit County, WA",53057
2020/7/8,39.76987867,Midwest,IN,"Steuben County, IN",18151
2020/7/8,33.02073309,Northeast,MA,"Suffolk County, MA",25025
2020/7/8,5.851440854,Northeast,MA,"Town and County of Nantucket, MA",25019
2020/7/8,39.8595254,Northeast,NJ,"Union County, NJ",34039
2020/7/8,2.926199014,Northeast,RI,"Washington County, RI",44009
2020/7/15,19.81184598,Northeast,MA,"Berkshire County, MA",25003
2020/7/15,134.9872493,Northeast,PA,"Dauphin County, PA",42043
2020/7/15,120.6063356,West,NV,"Elko County, NV",32007
2020/7/15,59.70138955,Northeast,PA,"Erie County, PA",42049
2020/7/15,36.71358782,Northeast,NJ,"Essex County, NJ",34013
2020/7/15,35.14640534,Northeast,MA,"Hampshire County, MA",25015
2020/7/15,159.7906042,Midwest,MN,"Hennepin County, MN",27053
2020/7/15,54.64746823,Northeast,PA,"Indiana County, PA",42063
2020/7/15,293.3209033,South,KY,"Jefferson County, KY",21111
2020/7/15,202.1162446,Midwest,IN,"Lake County, IN",18089
2020/7/15,243.917416,West,ID,"Latah County, ID",16057
2020/7/15,903.209743,South,FL,"Miami-Dade County, FL",12086
2020/7/15,52.55170331,West,CA,"Monterey County, CA",6053
2020/7/15,94.35714201,Northeast,DE,"New Castle County, DE",10003
2020/7/15,275.2547084,South,FL,"Palm Beach County, FL",12099
2020/7/15,55.54263733,West,MT,"Park County, MT",30067
2020/7/15,50.23091967,Midwest,IL,"Peoria County, IL",17143
2020/7/15,61.72715674,West,CA,"Placer County, CA",6061
2020/7/15,44.09832881,Midwest,IN,"Steuben County, IN",18151
2020/7/15,28.52168438,Northeast,MA,"Suffolk County, MA",25025
2020/7/22,82.80726623,Northeast,PA,"Dauphin County, PA",42043
2020/7/22,160.0647991,West,NV,"Elko County, NV",32007
2020/7/22,35.05571174,Northeast,PA,"Erie County, PA",42049
2020/7/22,24.8899978,Northeast,NJ,"Essex County, NJ",34013
2020/7/22,57.86483281,Northeast,CT,"Fairfield County, CT",9001
2020/7/22,207.2911362,Northeast,PA,"Franklin County, PA",42055
2020/7/22,149.3009933,South,TN,"Hamilton County, TN",47065
2020/7/22,198.7628374,Midwest,MN,"Hennepin County, MN",27053
2020/7/22,42.49292842,Northeast,PA,"Indiana County, PA",42063
2020/7/22,186.7727583,South,KY,"Jefferson County, KY",21111
2020/7/22,0,Northeast,ME,"Kennebec County, ME",23011
2020/7/22,147.7759749,Midwest,IN,"Lake County, IN",18089
2020/7/22,611.0601146,South,FL,"Miami-Dade County, FL",12086
2020/7/22,154.2869337,West,CA,"Monterey County, CA",6053
2020/7/22,8.296807893,Northeast,PA,"Montgomery County, PA",42091
2020/7/22,107.715073,West,OR,"Multnomah County, OR",41051
2020/7/22,5.973581949,Northeast,NY,"Nassau County, NY",36059
2020/7/22,75.61971755,Northeast,DE,"New Castle County, DE",10003
2020/7/22,22.19445753,West,MT,"Park County, MT",30067
2020/7/22,92.97651058,Midwest,IL,"Peoria County, IL",17143
2020/7/22,92.73095061,West,CA,"Placer County, CA",6061
2020/7/22,40.18748641,Midwest,IN,"Steuben County, IN",18151
2020/7/22,30.1305784,Northeast,MA,"Suffolk County, MA",25025
2020/7/22,1.905005608,Northeast,MA,"Town and County of Nantucket, MA",25019
2020/7/22,18.35254535,Northeast,NJ,"Union County, NJ",34039
2020/7/22,8.3200685,Northeast,RI,"Washington County, RI",44009
2020/7/29,62.04539762,West,CO,"Arapahoe County, CO",8005
2020/7/29,245.5044627,West,NV,"Elko County, NV",32007
